Rank,Title,Distributor,Year,Domestic gross
7,The Hunger Games: Mockingjay – Part 2,Lionsgate,2015,"$281,723,902"
8,The Martian,20th Century Fox,2015,"$228,433,663"
9,Cinderella,Disney,2015,"$201,151,353"
10,Spectre,Sony,2015,"$200,074,609"
1,Rogue One: A Star Wars Story,Disney,2016,"$532,177,324"
2,Finding Dory,Disney,2016,"$486,295,561"
3,Captain America: Civil War,Disney,2016,"$408,084,349"
4,The Secret Life of Pets,Universal,2016,"$368,384,330"
5,The Jungle Book,Disney,2016,"$364,001,123"
6,Deadpool,20th Century Fox,2016,"$363,070,709"
7,Zootopia,Disney,2016,"$341,268,248"
8,Batman v Superman: Dawn of Justice,Warner Bros.,2016,"$330,360,194"
9,Suicide Squad,Warner Bros.,2016,"$325,100,054"
10,Sing,Universal,2016,"$270,395,425"
1,Star Wars: The Last Jedi,Disney,2017,"$620,181,382"
2,Beauty and the Beast,Disney,2017,"$504,014,165"
3,Wonder Woman,Warner Bros.,2017,"$412,563,408"
4,Jumanji: Welcome to the Jungle,Sony,2017,"$404,515,480"
5,Guardians of the Galaxy Vol. 2,Disney,2017,"$389,813,101"
6,Spider-Man: Homecoming,Sony,2017,"$334,201,140"
7,It,Warner Bros.,2017,"$327,481,748"
8,Thor: Ragnarok,Disney,2017,"$315,058,289"
9,Despicable Me 3,Universal,2017,"$264,624,300"
10,Justice League,Warner Bros.,2017,"$229,024,295"
1,Black Panther,Disney,2018,"$700,059,566"
2,Avengers: Infinity War,Disney,2018,"$678,815,482"
3,Incredibles 2,Disney,2018,"$608,581,744"
4,Jurassic World: Fallen Kingdom,Universal,2018,"$417,719,760"
5,Aquaman,Warner Bros.,2018,"$335,104,314"
6,Deadpool 2,20th Century Fox,2018,"$318,491,426"
7,The Grinch,Universal,2018,"$270,620,950"
8,Mission: Impossible – Fallout,Paramount,2018,"$220,159,104"
9,Ant-Man and the Wasp,Disney,2018,"$216,648,740"
10,Bohemian Rhapsody,20th Century Fox,2018,"$216,428,042"
1,Avengers: Endgame,Disney,2019,"$858,373,000"
2,The Lion King,Disney,2019,"$543,638,043"
3,Star Wars: The Rise of Skywalker,Disney,2019,"$515,202,542"
4,Frozen II,Disney,2019,"$477,373,578"
5,Toy Story 4,Disney,2019,"$434,038,008"
6,Captain Marvel,Disney,2019,"$426,829,839"
7,Spider-Man: Far From Home,Sony,2019,"$390,532,085"
8,Aladdin,Disney,2019,"$355,559,216"
9,Joker,Warner Bros.,2019,"$335,477,657"
10,Jumanji: The Next Level,Sony,2019,"$320,314,960"
1,Bad Boys for Life,Sony,2020,"$206,305,244"
2,Sonic the Hedgehog,Paramount,2020,"$148,974,665"
3,Birds of Prey,Warner Bros.,2020,"$84,172,791"
4,Dolittle,Universal,2020,"$77,047,065"
5,The Invisible Man,Universal,2020,"$70,410,000"
6,The Call of the Wild,20th Century,2020,"$62,342,368"
7,Onward,Disney,2020,"$61,555,145"
8,The Croods: A New Age,Universal,2020,"$58,592,120"
9,Tenet,Warner Bros.,2020,"$58,456,624"
10,Wonder Woman 1984,Warner Bros.,2020,"$46,801,036"
1,Spider-Man: No Way Home,Sony,2021,"$804,617,772"
2,Shang-Chi and the Legend of the Ten Rings,Disney,2021,"$224,886,280"
3,Venom: Let There Be Carnage,Sony,2021,"$213,550,366"
4,Black Widow,Disney,2021,"$183,651,655"
5,F9,Universal,2021,"$173,005,945"
6,Eternals,Disney,2021,"$164,870,234"
7,Sing 2,Universal,2021,"$162,790,990"
8,No Time to Die,MGM / Universal,2021,"$160,891,007"
9,A Quiet Place Part II,Paramount,2021,"$160,072,261"
10,Ghostbusters: Afterlife,Sony,2021,"$129,360,575"
1,Top Gun: Maverick,Paramount,2022,"$718,732,821"
2,Avatar: The Way of Water,20th Century / Disney,2022,"$684,075,767"
3,Black Panther: Wakanda Forever,Disney,2022,"$453,829,060"
4,Doctor Strange in the Multiverse of Madness,Disney,2022,"$411,331,607"
5,Jurassic World Dominion,Universal,2022,"$376,851,080"
6,Minions: The Rise of Gru,Universal,2022,"$369,695,210"
7,The Batman,Warner Bros.,2022,"$369,345,583"
8,Thor: Love and Thunder,Disney,2022,"$343,256,830"
9,Sonic the Hedgehog 2,Paramount,2022,"$190,872,904"
10,Puss in Boots: The Last Wish,Universal,2022,"$185,535,345"
1,Barbie,Warner Bros.,2023,"$636,236,401"
2,The Super Mario Bros. Movie,Universal,2023,"$574,934,330"
3,Spider-Man: Across the Spider-Verse,Sony,2023,"$381,593,754"
4,Guardians of the Galaxy Vol. 3,Disney,2023,"$358,995,815"
5,Oppenheimer,Universal,2023,"$329,862,540"
6,The Little Mermaid,Disney,2023,"$298,172,056"
7,Wonka,Warner Bros.,2023,"$218,377,073"
8,Ant-Man and the Wasp: Quantumania,Disney,2023,"$214,506,909"
9,John Wick: Chapter 4,Lionsgate,2023,"$187,131,806"
10,Sound of Freedom,Angel Studios,2023,"$184,174,617"
